fichier,qgis,area
4_4,29006,31683.7037044214
0_4,28992,353038.538241319
0_5,26126,917125.093976017
5_4,28751,963612.246336452
3_4,25399,2155626.80945648
3_6,31004,7378469.39609825
2_6,30002,11095637.3401887
2_4,23665,34137260.6691488
1_4,29129,40712333.5982754
1_5,27370,42073994.9082961
3_5,29774,65582904.5144793
2_5,26220,99002568.5470237
